,nct_id,study_type,acronym,baseline_population,brief_title,official_title,overall_status
0,NCT04452825,Observational,,,A New Psychotherapy Intervention for Older Cancer Patients,Cancer and Aging Reflections for Elders (CARE): A Geriatric-Specific Psychotherapy for Older Adults With Cancer,"Active, not recruiting"
1,NCT04452812,Interventional,PROMETEO,,Statistical and Epidemiological Study Based on the Use of Convalescent Plasma for the Management of Patients With COVID-19,"Pilot Clinical, Statistical and Epidemiological Study on Efficacy and Safety of Convalescent Plasma for the Management of Patients With COVID-19",Not yet recruiting
2,NCT04452799,Interventional,,,Hesperidin and Diosmin for Treatment of COVID-19,Randomized Double-blind Controlled Parallel Study of (Hesperidin and Diosmin Mixture) for Treatment of COVID-19 Newly Diagnosed Patients in Egypt,Not yet recruiting
3,NCT04452786,Interventional,,,Hormonal and Metabolic Aspects of Endoscopic Sleeve Gastroplasty,Hormonal and Metabolic Aspects of Endoscopic Sleeve Gastroplasty,Recruiting
4,NCT04452773,Interventional,,,Clinical Trial to Evaluate the Efficacy of Food Supplement Manremyc® Against SARS- COV-2 Infection (COVID-19) in Healthcare Workers,"Double-blind, Randomized, Placebo-Controlled Clinical Trial to Evaluate the Efficacy of the Manremyc® Food Supplement to Prevent SARS-CoV-2 Infection",Not yet recruiting
5,NCT04452760,Interventional,,,"Effects of Ten-Weeks Progressive Resistance Training on Neuromuscular Performance, Mobility, Heart Rate Variability and Sleep Quality in Persons With Multiple Sclerosis","Effects of Ten-Weeks Progressive Resistance Training on Neuromuscular Performance, Mobility, Heart Rate Variability and Sleep Quality in Persons With Multiple Sclerosis",Not yet recruiting
6,NCT04452747,Interventional,BESTWAY,,Artificial Induction of Labour in Full-term Singleton Pregnancy : Comparative Randomized Trial of Two Strategies,Artificial Induction of Labour in Full-term Singleton Pregnancy : Comparative Randomized Clinical Trial of Two Strategies (DINO-FIRST Versus BALLON-FIRST),Not yet recruiting
7,NCT04452734,Interventional,,,Efficacy of Platelet Rich Plasma (PRP) on Mouth Opening and Pain After Surgical Extraction of Mandibular Third Molars.,Efficacy of Platelet Rich Plasma (PRP) on Mouth Opening and Pain After Surgical Extraction of Mandibular Third Molars.,Completed
8,NCT04452721,Observational,Pectusdyn,,Prognosis Factors for the Treatment of Pectus Carinatum With a Dynamic Compression System,Prognosis Factors for the Treatment of Pectus Carinatum With a Dynamic Compression System,Not yet recruiting
9,NCT04452708,Observational,,,HFNC and NIV for COVID-19 Complicated by Respiratory Failure,The Safety of High Flow Nasal Cannula and Noninvasive Ventilation for Treatment of Patients With COVID-19 Complicated by Respiratory Failure,Recruiting
10,NCT04452695,Observational,,,Acceptability of Telehealth Triage Using Robotic Systems in COVID-19,Acceptability of Telehealth Triage Using Robotic Systems in COVID-19,Recruiting
11,NCT04452682,Observational,,,The Impact of COVID-19 Pandemic on Critical Limb Threatening Ischemia and Emergency Vascular Practice,The Impact of COVID-19 Pandemic on Critical Limb Threatening Ischemia and Emergency Vascular Practice,Completed
12,NCT04452669,Interventional,VPCOVID,,VentaProst (Inhaled Epoprostenol Delivered Via Dedicated Delivery System) in Subjects With COVID-19 Requiring Mechanical Ventilation,Open Label Study to Assess the Efficacy and Safety of VentaProst (Inhaled Epoprostenol Delivered Via Dedicated Delivery System) in Subjects With COVID-19 Requiring Mechanical Ventilation,Not yet recruiting
13,NCT04452656,Interventional,,,Analgesic Efficacy of Ultrasound Guided Bilateral Erector Spinae Plane Block in Pediatric.,Analgesic Efficacy of Ultrasound Guided Bilateral Erector Spinae Plane Block Versus Fentanyl Infusion in Pediatric Patients Undergoing Cardiac Surgeries. a Randomized Controlled Study.,Not yet recruiting
14,NCT04452643,Interventional,Bacmune,,Efficacy of BACMUNE (MV130) in the Prevention of Disease Due to SARS-CoV-2 Infection in Healthcare Personnel,"Prospective, Multicenter, Randomized, Double-blind, Placebo-controlled Clinical Trial on the Efficacy of BACMUNE (MV130) in the Prevention of Disease Due to SARS-CoV-2 Infection in Healthcare Personnel",Not yet recruiting
15,NCT04452630,Observational,,,Cardiovascular Consequences After COVID-19,The CardioPostCovid Study: Cardiovascular Consequences After COVID-19,Recruiting
16,NCT04452617,Observational,,,Safety of Short-term Hydroxychloroquine Plus Azithromycin Treatment in Critically Ill Patients With Severe COVID-19,Safety of Short-term Hydroxychloroquine Plus Azithromycin Treatment in Critically Ill Patients With Severe COVID-19,"Active, not recruiting"
17,NCT04452604,Observational,COVLA,,Multicentric Registry of Patients With Acute Leukemia Infected by COVID-19,National Retrospective Monitoring of Patients With Acute Leukemia Infected by COronaVirus Disease 2019 (COVID-19),Not yet recruiting
18,NCT04452591,Interventional,BOND-003,,"Study of CG0070 Given in Patients With Non-Muscular Invasive Bladder Cancer ,Unresponsive to Bacillus-Calmette-Guerin",A Phase 3 Study of CG0070 in Patients With Non-Muscular Invasive Bladder Cancer (NMIBC) Unresponsive to Bacillus-Calmette-Guerin (BCG),Not yet recruiting
19,NCT04452578,Interventional,,,Hepatitis C Virus (HVC) Positive Heart Grafts in HCV Negative Recipients,Pilot Investigation Using HCV Positive Heart Grafts in HCV Negative or Previously Successfully Treated Recipients,Recruiting
20,NCT04452565,Interventional,NATADEX,,"NA-831, Atazanavir and Dexamethasone in the Treatment of SARSCov-2 Infection (NATADEX)","Randomized Controlled Phase 2/3 Clinical Trial of NA-831 Alone or With Atazanavir, or NA-831 With Dexamethasone, or Atazanavir With Dexamethasone in the Treatment of SARS CoV-2 Infection",Recruiting
21,NCT04452552,Interventional,,,Ultrasound Cavitation Versus Radiofrequency on Abdominal Fat,Effect of Ultrasound Cavitation Versus Radiofrequency on Abdominal Fat Thickness in Postnatal Women,Completed
22,NCT04452539,Observational,,,Gender Influence on Morbi-mortality in Pediatric Cardiac Surgery.,Gender Influence on Mortality and Major Morbidity After Pediatric Cardiac Surgery.,Not yet recruiting
23,NCT04409782,Interventional,,,Education About Health and Cancer Study,Education About Health and Cancer Study,Not yet recruiting
24,NCT04452526,Interventional,IVaccinate,,I Vaccinate: Testing Multi-Level Interventions to Improve HPV Vaccination,"Improving Uptake of Cervical Cancer Prevention Services in Appalachia; Testing Multi-Level Interventions to Improve HPV Vaccination: The ""I Vaccinate"" Program",Not yet recruiting
25,NCT04452513,Observational,,,A Prospective Clinical Study of Phenylketonuria (PKU),A Prospective Clinical Study of Phenylketonuria (PKU),Recruiting
26,NCT04452500,Interventional,,,Phase IIa Trial of a Selective Glucocorticoid Receptor Antagonist in the Treatment of Veterans With Posttraumatic Stress Disorder (PTSD),Phase IIa Trial of a Selective Glucocorticoid Receptor Antagonist in the Treatment of Veterans With Posttraumatic Stress Disorder (PTSD),Not yet recruiting
27,NCT04452487,Observational,COVID-19-LAT,,Study of the Consequences of Infection on Compliance of Modalities of Decisions of Limitations and Stops of Treatments (COVID-19-LAT),Study of the Consequences of Infection on Compliance of Modalities of Decisions of Limitations and Stops of Treatments,Recruiting
28,NCT04452474,Interventional,,,Study of the Efficacy and Safety of a Single Administration of Olokizumab vs. Placebo in Addition to Standard Treatment in Patients With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection (COVID-19).,"A Multicenter, Randomized, Double-blind, Adaptive, Placebo-controlled Study of the Efficacy and Safety of a Single Administration of Olokizumab vs. Placebo in Addition to Standard Treatment in Patients With Severe SARS-CoV-2 Infection (COVID-19)",Not yet recruiting
29,NCT04452461,Interventional,PANCREAS,,Pancreatic Adenocarcinoma Neoadjuvant Combination Chemotherapy and Stereotactic Body Radiation Therapy Before Surgery,mFOLFIRINOX or Gemcitabine / Nab-paclitaxel and Stereotactic Body Radiation Therapy Followed by Pancreatectomy for Patients With Borderline Resectable Pancreatic Adenocarcinoma. A Pilot Feasibility Study.,Not yet recruiting
30,NCT04452448,Interventional,,,Analysis of I-Trace High Order Aberrations Induced by Wavefront Optimized Ablation Profiles,Analysis of I-Trace High Order Aberrations Induced by Wavefront Optimized Ablation Profiles,Completed
31,NCT04452435,Interventional,,,Safety and Efficacy of C21 in Subjects With COVID-19,"A Randomised, Double-blind, Placebo-controlled, Phase 2 Trial Investigating the Safety and Efficacy of C21 in Hospitalised Subjects With COVID-19 Infection Not Requiring Mechanical Ventilation",Recruiting
32,NCT04452422,Observational,VT-Covid-19,,Deep Venous Thrombosis in Non-severe COVID-19 Patients Hospitalized for a Neurovascular Pathology,High Prevalence of Deep Venous Thrombosis in Non-severe COVID-19 Patients Hospitalized for a Neurovascular Pathology,Recruiting
33,NCT04452409,Interventional,,,Enhanced Liver Function in Non-alcoholic Obese Fatty Liver Patients by Low Level Laser Therapy,Enhanced Liver Function in Non-alcoholic Obese Fatty Liver Patients by Low Level Laser Therapy,Recruiting
34,NCT04452396,Interventional,,,CGM (Continuous Glucose Monitoring) Use in Diagnosis of Spontaneous and Reactive Hypoglycaemia,Continuous Glucose Monitoring: An Evaluation of Impact on Improving the Efficiency of Diagnostic Processes and Enhancing Patient Safety in the Management of Reactive and Spontaneous Hypoglycaemia,Recruiting
35,NCT04452383,Interventional,,,f Adding Ketamine to Propofol For Drug-induced Sleep Endoscopy in Adult Patients With Obstructive Sleep Apnea,The Effect Of Adding Ketamine to Propofol For Drug-induced Sleep Endoscopy in Adult Patients With Obstructive Sleep Apnea A Randomized Controlled Study,Not yet recruiting
36,NCT04452370,Interventional,,,Oral Etoposide Combined With Anlotinib in Advanced Triple Negative Breast Cancer,Oral Etoposide Combined With Anlotinib in Advanced Triple Negative Breast Cancer,Not yet recruiting
37,NCT04452357,Interventional,,,Phase-I Trial Using Pulse-low-dose Rate (PLDR) Radiation in Pancreatic Cancer,RT-155: Utilizing Pulsed Low-dose-rate (PLDR) Radiation to Prevent de Novo Stromal Activation; a Neoadjuvant Pancreatic Adenocarcinoma Phase I Trial,Recruiting
38,NCT04452344,Interventional,OARS,,Opioid Analgesic Reduction Study,Opioid Analgesic Reduction Study (OARS): Managing Acute Post-Operative Surgical Pain,Not yet recruiting
39,NCT04452331,Interventional,OAA,,Assessing Open Access Audio,An Assessment of Open Access Audio of the Clinical Encounter on Veterans and Their Care,Not yet recruiting
40,NCT04452318,Interventional,,,Study Assessing the Efficacy and Safety of Anti-Spike SARS CoV-2 Monoclonal Antibodies for Prevention of SARS CoV-2 Infection Asymptomatic in Healthy Adults Who Are Household Contacts to an Individual With a Positive SARS-CoV-2 RT-PCR Assay,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study Assessing the Efficacy and Safety of Anti-Spike SARS-CoV-2 Monoclonal Antibodies in Preventing SARS-CoV-2 Infection in Household Contacts of Individuals Infected With SARS-CoV-2",Not yet recruiting
41,NCT04452305,Interventional,,,Spermatogonial Stem Cell (SSC) Transplant and Testicular Tissue Grafting,Spermatogonial Stem Cell (SSC) Transplant and Testicular Tissue Grafting,Recruiting
42,NCT04452292,Interventional,PRECISION-NEC,,Next Generation Sequencing-Based Stratification of Front Line Treatment of HighGrade Neuroendocrine Carcinoma,A Pilot Feasibility Study of Next Generation Sequencing-Based Stratification of Front Line Treatment of HighGrade Neuroendocrine Carcinoma,Not yet recruiting
43,NCT04452279,Interventional,,,Ocular Surface Disease Changes After iStent or iStent Inject Implantation With Phacoemulsification,Prospective Study of Ocular Surface Disease Changes After iStent or iStent Inject Trabecular Micro-Bypass Implantation With Cataract Surgery,Completed
44,NCT04452266,Observational,PrediLynch,,Predictive Factor Study of the Occurrence of Endometrial Cancer in Patients With Lynch Syndrome,Predictive Factor Study of the Occurrence of Endometrial Cancer in Patients With Lynch Syndrome: Study Conducted in the Hauts-de-France,Not yet recruiting
45,NCT04447339,Observational,NSM Open,,Open Nipple Sparing Mastectomy (NSM),"A Retrospective, Multicenter Study of Open Nipple Sparing Mastectomy (NSM)",Not yet recruiting
46,NCT04452253,Interventional,,,Psychiatric Symptoms in Employees Experiencing High Levels of Stress Before and After the Intake of Probiotics,Associations of Serum Total Antioxidant Capacity and Sleep or Psychiatric Symptoms in Employees Experiencing High Levels of Stress Before and After the Intake of Probiotics,Recruiting
47,NCT04452240,Observational [Patient Registry],CONFORTA,,"Safety, Efficacy and Cost Analysis of the Conformable Thoracic Stent Graft With ACTIVE CONTROL","Clinical Study to Evaluate the Safety, Efficacy and Cost Analysis of the GORE® TAG® Conformable Thoracic Stent Graft With ACTIVE CONTROL System FOR Patients With Descending Thoracic Aortic Pathologies",Not yet recruiting
48,NCT04452227,Observational,,,A Two-stage Translation of the Chinese Version Menstrual Distress Questionnaire,"A Two-stage Translation of the Chinese Version Menstrual Distress Questionnaire: a Physical, Psychological, and Behavior Study in Taiwan",Completed
49,NCT04452214,Interventional,,,A Study of the Safety and Tolerance of CAN04 in Combination With Pembrolizumab in Subjects With Solid Tumors,"An Open-label, Safety and Tolerability Phase 1b Trial of CAN04, a Fully Humanized Anti-IL1RAP Monoclonal Antibody, in Combination With Pembrolizumab in Subjects With Solid Tumors Progressing on PD-1/PD-L1 Inhibitor-containing Regimens",Not yet recruiting
50,NCT04452201,Interventional,,,Parent Communication for Feeding an Infant With a Heart Defect,Parent Communication for Feeding an Infant With a Heart Defect - Pilot Intervention Study,Completed
51,NCT04452188,Interventional,T-NOX,,Targeting Normoxia in Neonates With Cyanotic Congenital Heart Disease in the Intra-operative and Immediate Post-operative Period,Targeting Normoxia in Neonates With Cyanotic Congenital Heart Disease in the Intra-operative and Immediate Post-operative Period (T-NOX),Not yet recruiting
52,NCT04452175,Interventional,GENESIS,,Cigarette Consumption After switchinG to High or Low Nicotine strENght E-cigaretteS In Smokers With Schizophrenia,"Cigarette Consumption After switchinG to High or Low Nicotine strENght E-cigaretteS In Smokers With Schizophrenia Spectrum Disorders: A 12-month Randomised, Double-blind Multicentre Trial",Not yet recruiting
53,NCT04452162,Interventional,PSGT,,Physiologic MR Imaging of Salivary Gland Tumors,Physiologic MR Imaging in Distinguishing Benign From Malignant Salivary Gland Tumors,Not yet recruiting
54,NCT04452149,Interventional,ALLEVIATE-HF,,Algorithm Using LINQ Sensors for Evaluation And Treatment of Heart Failure,Algorithm Using LINQ Sensors for Evaluation And Treatment of Heart Failure,Not yet recruiting
55,NCT04452136,Expanded Access,,,Expanded Access Protocol of 68Ga PSMA 11 PET Imaging of Prostate Cancer,68Ga PSMA-11 in Patients With Intermediate to High-risk Prostate Cancer Before Prostatectomy or With Biochemical Recurrence of Prostate Cancer.,Available
56,NCT04452123,Interventional,EnTOF,,Endometrioma Treatment and Ovarian Function,Endometrioma Treatment and Ovarian Function,Not yet recruiting
57,NCT04452110,Observational [Patient Registry],,,Investigation of the Reliability of Ultrasonography Usage in the Diagnosis of Temporomandibular Joint Diseases,Investigation of the Reliability of Ultrasonography Usage in the Diagnosis of Temporomandibular Joint Diseases: A Prospective Study,Recruiting
58,NCT04452097,Interventional,,,Use of hUC-MSC Product (BX-U001) for the Treatment of COVID-19 With ARDS,A Phase 1 Study of the Safety and Tolerability of BX-U001 for the Treatment of Severe COVID-19 Pneumonia With Mild to Moderate Acute Respiratory Distress Syndrome (ARDS).,Not yet recruiting
59,NCT04452084,Interventional,,,Phase 2 Trial in Multiple Brain Metastases Comparing HA-WBRT and HA-SIB-WBRT Outcomes,Randomised Prospective Phase 2 Trial in Multiple Brain Metastases Comparing Outcomes Between Hippocampal Avoidance Whole Brain Radiotherapy With or Without Simultaneous Integrated Boost,Recruiting
60,NCT04452071,Observational,,,Gingival Crevicular Fluid Alkaline Phosphatase as Skeletal Growth Indicator,Gingival Crevicular Fluid Alkaline Phosphatase Activity as a Biomarker of Skeletal Maturation in Comparison to Modified Middle Phalanx of The Middle Finger (MP3) Method in a Sample of Growing Egyptian Females,Completed
61,NCT04452058,Observational,TOP-RLC,,CT-based Radiomic Algorithm for Assisting Surgery Decision and Predicting Immunotherapy Response of NSCLC,CT-based Radiomic Algorithm for Assisting Surgery Decision and Predicting Immunotherapy Response of NSCLC,Recruiting
62,NCT04452045,Interventional,,,SweetDreams Sleep Study,Feasibility of a Sleep Intervention for Children With Autism Spectrum Disorder Study,Not yet recruiting
63,NCT04452032,Interventional,StomRay,,Prospective Pilot Study Evaluating Dental Side Effects of Radiotherapy on Subjects Treated for Head and Neck Cancer,Prospective Pilot Study Evaluating Dental Side Effects of Radiotherapy on Subjects Treated for Head and Neck Cancer,Not yet recruiting
64,NCT04452019,Interventional,,,Use of Standing Frame and Innowalk Pro in Patients With TBI,Responses on Use of Standing Frame and Innowalk Pro in Subacute Patients With Severe Functional Deficits Due to Aquired Brain Injury.,Not yet recruiting
